{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0782718, lon=129.0909265, alt=29.646, dist_traveled=4187.247641360372, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=205.39700968483572, vertical_speed=-0.9865349531173706, ground_speed=25.61433982849121, wind_vel=0.031247379258275032, airspeed=25.24301528930664, gps_hdop=1.21, roll=-0.16, pitch=-4.83, yaw=-37.02, ch3percent=0.0, ch9out=0.0, tot=2558.53, toh=8.02, time_in_air=10.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:02.501364, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0784575, lon=129.0907578, alt=28.863, dist_traveled=4212.977828551249, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=231.0372827155563, vertical_speed=-0.34439802169799805, ground_speed=26.085615158081055, wind_vel=0.031247379258275032, airspeed=25.760568618774414, gps_hdop=1.21, roll=-0.03, pitch=-3.52, yaw=-37.14, ch3percent=0.0, ch9out=0.0, tot=2512.3, toh=8.86, time_in_air=11.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:03.502454, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0786457, lon=129.0905867, alt=28.631, dist_traveled=4239.061387003604, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=257.04737135095957, vertical_speed=0.04473116248846054, ground_speed=26.2828369140625, wind_vel=0.031247379258275032, airspeed=26.011913299560547, gps_hdop=1.21, roll=0.07, pitch=-2.7, yaw=-37.08, ch3percent=0.0, ch9out=0.0, tot=2493.45, toh=9.78, time_in_air=12.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:04.498533, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0789294, lon=129.0903294, alt=28.896, dist_traveled=4278.346914249955, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=296.24941733239206, vertical_speed=0.2728480398654938, ground_speed=26.2469539642334, wind_vel=0.031247379258275032, airspeed=26.10148048400879, gps_hdop=1.21, roll=-0.17, pitch=-2.27, yaw=-37.21, ch3percent=0.0, ch9out=0.0, tot=2496.86, toh=11.29, time_in_air=13.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:05.502447, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0790238, lon=129.0902436, alt=29.037, dist_traveled=4291.429012478385, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=309.30762977747474, vertical_speed=0.3185141384601593, ground_speed=26.146869659423828, wind_vel=0.031247379258275032, airspeed=25.991458892822266, gps_hdop=1.21, roll=0.13, pitch=-2.09, yaw=-37.27, ch3percent=0.0, ch9out=0.0, tot=2506.42, toh=11.83, time_in_air=14.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:06.501065, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.079212, lon=129.0900729, alt=29.346, dist_traveled=4317.490795663456, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=335.32878114116113, vertical_speed=0.2996509075164795, ground_speed=25.986068725585938, wind_vel=0.031247379258275032, airspeed=25.846275329589844, gps_hdop=1.21, roll=-0.09, pitch=-2.14, yaw=-37.43, ch3percent=0.0, ch9out=0.0, tot=2521.93, toh=12.9, time_in_air=15.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:07.493849, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0793978, lon=129.0899038, alt=29.649, dist_traveled=4343.251527308322, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=361.05298362740643, vertical_speed=0.19034181535243988, ground_speed=25.77560043334961, wind_vel=0.031247379258275032, airspeed=25.678438186645508, gps_hdop=1.21, roll=-0.05, pitch=-2.32, yaw=-37.44, ch3percent=0.0, ch9out=0.0, tot=2542.52, toh=14.01, time_in_air=16.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:08.497402, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0795828, lon=129.0897355, alt=29.862, dist_traveled=4368.897412167372, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=386.667587899197, vertical_speed=0.20191195607185364, ground_speed=25.613204956054688, wind_vel=0.031247379258275032, airspeed=25.56169319152832, gps_hdop=1.21, roll=0.24, pitch=-2.15, yaw=-37.51, ch3percent=0.0, ch9out=0.0, tot=2558.64, toh=15.1, time_in_air=17.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:09.494532, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0797667, lon=129.0895681, alt=30.089, dist_traveled=4394.396260660452, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=412.1388655045541, vertical_speed=0.16690483689308167, ground_speed=25.478750228881836, wind_vel=0.031247379258275032, airspeed=25.39507484436035, gps_hdop=1.21, roll=0.0, pitch=-2.31, yaw=-37.49, ch3percent=0.0, ch9out=0.0, tot=2572.14, toh=16.18, time_in_air=18.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:10.49747, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0800423, lon=129.0893174, alt=30.305, dist_traveled=4432.600459607541, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=450.30811849910447, vertical_speed=0.0838647112250328, ground_speed=25.397592544555664, wind_vel=0.031247379258275032, airspeed=25.27137565612793, gps_hdop=1.21, roll=-0.02, pitch=-2.47, yaw=-37.47, ch3percent=0.0, ch9out=0.0, tot=2580.36, toh=17.73, time_in_air=19.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:11.492934, flight_count=2}
